要素番号	頂点番号	xx	yy	xy	zz
192	0	-1.737600243478710e-02	1.001054309008617e+01	-2.750302906067592e-01	2.997950126295415e+00
192	1	-5.097783702239767e-02	1.007157612644586e+01	-2.497317284631322e-01	3.006179486827039e+00
192	2	4.946122713131462e-02	9.998659888248639e+00	-2.368777617908814e-01	3.014436334613986e+00
192	3	1.649246002860583e-02	1.004485373620091e+01	-2.220197237730572e-01	3.018403858868853e+00
193	0	-5.097783702240477e-02	1.007157612644584e+01	-2.497317284631279e-01	3.006179486827032e+00
193	1	-6.953440161907931e-02	1.011318531750165e+01	-2.109540156391542e-01	3.013095274764771e+00
193	2	1.649246002860938e-02	1.004485373620091e+01	-2.220197237730594e-01	3.018403858868856e+00
193	3	-8.045723304728192e-03	1.007608752768984e+01	-1.948915911570097e-01	3.020412541315533e+00
194	0	-6.953440161907931e-02	1.011318531750165e+01	-2.109540156391558e-01	3.013095274764771e+00
194	1	-7.703703995969491e-02	1.013323896472301e+01	-1.674827541307712e-01	3.016860577428995e+00
194	2	-8.045723304726415e-03	1.007608752768984e+01	-1.948915911570080e-01	3.020412541315534e+00
194	3	-2.281974598671166e-02	1.009384605250790e+01	-1.608612121324365e-01	3.021307891956357e+00
195	0	-7.703703995969491e-02	1.013323896472301e+01	-1.674827541307712e-01	3.016860577428995e+00
195	1	-7.465432439903985e-02	1.013705376734001e+01	-1.244239357010941e-01	3.018719832882291e+00
195	2	-2.281974598671166e-02	1.009384605250790e+01	-1.608612121324365e-01	3.021307891956357e+00
195	3	-3.016561615702251e-02	1.009866152832771e+01	-1.252778532604237e-01	3.020548773651206e+00
196	0	-7.465432439903985e-02	1.013705376734001e+01	-1.244239357010941e-01	3.018719832882291e+00
196	1	-6.669212620500176e-02	1.012776377906827e+01	-8.589620813588232e-02	3.018321495858980e+00
196	2	-3.016561615702251e-02	1.009866152832771e+01	-1.252778532604237e-01	3.020548773651206e+00
196	3	-3.122097504085541e-02	1.009404897627551e+01	-9.149345654023848e-02	3.018848400370397e+00
197	0	-6.669212620500176e-02	1.012776377906827e+01	-8.589620813588232e-02	3.018321495858980e+00
197	1	-5.505403437377332e-02	1.011037746024630e+01	-5.363911806483847e-02	3.016597027761756e+00
