要素番号	ガウス点番号	xx	yy	xy	zz
490	4	-2.451445058829917e-05	3.929995914719216e-05	-3.771091580025288e-05	0.000000000000000e+00
490	5	-2.454897145613805e-05	3.932026251427192e-05	-3.729039245709691e-05	0.000000000000000e+00
490	6	-2.457972511253698e-05	3.930198503510548e-05	-3.669241296096399e-05	0.000000000000000e+00
490	7	-2.459583332014205e-05	3.926641935760843e-05	-3.617890687570860e-05	0.000000000000000e+00
490	8	-2.352828697530905e-05	3.797298734147496e-05	-3.811608392040114e-05	0.000000000000000e+00
490	9	-2.355603825042166e-05	3.804616053714016e-05	-3.772878367158921e-05	0.000000000000000e+00
490	10	-2.356592840558737e-05	3.807819728542839e-05	-3.718833950444895e-05	0.000000000000000e+00
490	11	-2.355494933871926e-05	3.806939529632068e-05	-3.673462589218031e-05	0.000000000000000e+00
490	12	-2.265375207438682e-05	3.688594553016345e-05	-3.786595846117034e-05	0.000000000000000e+00
490	13	-2.267812450128053e-05	3.700245983116570e-05	-3.748376347505295e-05	0.000000000000000e+00
490	14	-2.267987542311039e-05	3.709522616661208e-05	-3.695830838031415e-05	0.000000000000000e+00
490	15	-2.265666797636936e-05	3.713975382291315e-05	-3.653109654822941e-05	0.000000000000000e+00
491	0	-2.530080549387965e-05	4.029416117747454e-05	-3.494608639805836e-05	0.000000000000000e+00
491	1	-2.533697419900288e-05	4.021295383020103e-05	-3.426759274391241e-05	0.000000000000000e+00
491	2	-2.536769068267012e-05	4.004170784477534e-05	-3.328563105800231e-05	0.000000000000000e+00
491	3	-2.537934509304549e-05	3.987709750406915e-05	-3.245472127522215e-05	0.000000000000000e+00
491	4	-2.460244542910646e-05	3.924229249774097e-05	-3.588075869353285e-05	0.000000000000000e+00
491	5	-2.460522190534590e-05	3.917093902366079e-05	-3.527412482581769e-05	0.000000000000000e+00
491	6	-2.458616158590603e-05	3.904365737100999e-05	-3.439150174259601e-05	0.000000000000000e+00
491	7	-2.455196664619462e-05	3.893918852469862e-05	-3.364611599472366e-05	0.000000000000000e+00
491	8	-2.354301275423643e-05	3.805727427408714e-05	-3.647527560173843e-05	0.000000000000000e+00
491	9	-2.350905794485607e-05	3.802498708349307e-05	-3.595419879114571e-05	0.000000000000000e+00
491	10	-2.343786556745135e-05	3.798221851936485e-05	-3.520197838025457e-05	0.000000000000000e+00
491	11	-2.335891812297631e-05	3.796551988959264e-05	-3.456532415348662e-05	0.000000000000000e+00
491	12	-2.263534351651576e-05	3.715906698758437e-05	-3.629420822611881e-05	0.000000000000000e+00
491	13	-2.258077708477760e-05	3.718282261411964e-05	-3.583919546000402e-05	0.000000000000000e+00
491	14	-2.247811075891096e-05	3.719873251659005e-05	-3.520648126424783e-05	0.000000000000000e+00
491	15	-2.237213937230146e-05	3.720982578065412e-05	-3.467314539117554e-05	0.000000000000000e+00
492	0	-2.538098423388432e-05	3.978152990245394e-05	-3.198255274460406e-05	0.000000000000000e+00
492	1	-2.536542574037094e-05	3.957665610177051e-05	-3.102810169746997e-05	0.000000000000000e+00
492	2	-2.530712136656363e-05	3.926285587216398e-05	-2.962711633725421e-05	0.000000000000000e+00
492	3	-2.523393434127441e-05	3.899258955325262e-05	-2.841709238316099e-05	0.000000000000000e+00
492	4	-2.452566085523728e-05	3.888410702335675e-05	-3.322536744294196e-05	0.000000000000000e+00
492	5	-2.445072402322451e-05	3.874080826054036e-05	-3.239810010952185e-05	0.000000000000000e+00
492	6	-2.429622015944505e-05	3.847251166839120e-05	-3.122669074899150e-05	0.000000000000000e+00
492	7	-2.413020263108734e-05	3.821030981308694e-05	-3.024091676445669e-05	0.000000000000000e+00
492	8	-2.330681893007080e-05	3.796210203417679e-05	-3.420550355427909e-05	0.000000000000000e+00
492	9	-2.318271190093429e-05	3.787979912996391e-05	-3.352402916459791e-05	0.000000000000000e+00
492	10	-2.296017806926316e-05	3.761187212779999e-05	-3.260852474821573e-05	0.000000000000000e+00
492	11	-2.273626902644790e-05	3.730776719351875e-05	-3.186511485791157e-05	0.000000000000000e+00
492	12	-2.230497014919324e-05	3.721214056052304e-05	-3.436923618115952e-05	0.000000000000000e+00
492	13	-2.215485504124895e-05	3.710050340079509e-05	-3.380430620508472e-05	0.000000000000000e+00
492	14	-2.190427543857231e-05	3.682744928188554e-05	-3.305234978350036e-05	0.000000000000000e+00
492	15	-2.166431879500969e-05	3.664450782578282e-05	-3.243859008148804e-05	0.000000000000000e+00
493	0	-9.292354569242179e-06	2.559371664204540e-06	1.185042232564569e-05	0.000000000000000e+00
