e	gp_n	xx	yy	xy	zz
260	6	-1.793167574824943e-05	4.375738623130568e-05	-1.302428312361611e-06	0.000000000000000e+00
260	7	-1.799058383350886e-05	4.378839950195015e-05	-1.288381154331746e-06	0.000000000000000e+00
260	8	-1.769671200492521e-05	4.364322448088535e-05	-1.090188113082102e-06	0.000000000000000e+00
260	9	-1.776060629142640e-05	4.367494846122699e-05	-1.090396967479603e-06	0.000000000000000e+00
260	10	-1.784334668070339e-05	4.371591032895999e-05	-1.082733765278319e-06	0.000000000000000e+00
260	11	-1.790628472959994e-05	4.374670717191964e-05	-1.070960200287596e-06	0.000000000000000e+00
260	12	-1.762167259755351e-05	4.361186787261953e-05	-9.082338728544086e-07	0.000000000000000e+00
260	13	-1.768910104762905e-05	4.364366339258779e-05	-9.082314147359607e-07	0.000000000000000e+00
260	14	-1.777660851106789e-05	4.368483903201065e-05	-9.017079972141046e-07	0.000000000000000e+00
260	15	-1.784331982090487e-05	4.371592759282359e-05	-8.917775948635086e-07	0.000000000000000e+00
261	0	-1.808638642137888e-05	4.383801277872993e-05	-1.431914402411876e-06	0.000000000000000e+00
261	1	-1.814127790172322e-05	4.386815612587795e-05	-1.407038069702489e-06	0.000000000000000e+00
261	2	-1.821083714476013e-05	4.390577183935316e-05	-1.366949638716216e-06	0.000000000000000e+00
261	3	-1.826257268563196e-05	4.393313819244639e-05	-1.330509674085653e-06	0.000000000000000e+00
261	4	-1.802169599207676e-05	4.380457829430454e-05	-1.278483527603377e-06	0.000000000000000e+00
261	5	-1.807910751727511e-05	4.383420267313271e-05	-1.256382632883284e-06	0.000000000000000e+00
261	6	-1.815201821898306e-05	4.387132378299275e-05	-1.220805744188930e-06	0.000000000000000e+00
261	7	-1.820637114949880e-05	4.389852460564615e-05	-1.188354213779056e-06	0.000000000000000e+00
261	8	-1.793962026544895e-05	4.376282550430234e-05	-1.062695294923152e-06	0.000000000000000e+00
261	9	-1.800116371642666e-05	4.379243772914630e-05	-1.044286068145694e-06	0.000000000000000e+00
261	10	-1.807934884132012e-05	4.382976510104437e-05	-1.014620549623308e-06	0.000000000000000e+00
