要素番号	頂点番号	disp_x	disp_y
89	2	-4.282252125208472e-05	1.753785163056798e-04
89	3	-5.574672720233734e-05	1.707665882036720e-04
90	0	-5.735977600520784e-05	1.426828248353708e-04
90	1	-7.065295441782143e-05	1.391281950301462e-04
90	2	-5.574672720233734e-05	1.707665882036720e-04
90	3	-6.868037489383040e-05	1.671901501534156e-04
91	0	-7.065295441782143e-05	1.391281950301463e-04
91	1	-8.348501250518390e-05	1.366721895294007e-04
91	2	-6.868037489383039e-05	1.671901501534156e-04
91	3	-8.141354566972081e-05	1.644640270162787e-04
92	0	-8.348501250518390e-05	1.366721895294007e-04
92	1	-9.589530895066876e-05	1.349176695447977e-04
92	2	-8.141354566972081e-05	1.644640270162787e-04
92	3	-9.385325530079365e-05	1.623994333065117e-04
