要素番号	頂点番号	xx	yy	xy	zz
324	3	2.636311357911912e+00	2.130022636505280e+01	-3.370722809311055e+00	7.180961316889412e+00
325	0	2.513920230791275e+00	2.265665895799032e+01	-2.357027486506729e+00	7.551173756634481e+00
325	1	2.942088767711548e+00	2.078821696948192e+01	-1.583141107603215e+00	7.119091721158038e+00
325	2	2.636311357911929e+00	2.130022636505281e+01	-3.370722809311055e+00	7.180961316889421e+00
325	3	2.803806205375922e+00	1.979335710040379e+01	-2.298056879698366e+00	6.779148991733913e+00
326	0	2.942088767711507e+00	2.078821696948189e+01	-1.583141107603207e+00	7.119091721158020e+00
326	1	3.134638177896607e+00	1.927534315044565e+01	-1.013314409214695e+00	6.722994398502678e+00
326	2	2.803806205375934e+00	1.979335710040377e+01	-2.298056879698366e+00	6.779148991733911e+00
326	3	2.834035384321857e+00	1.855507961210952e+01	-1.507199809358937e+00	6.416734498929413e+00
327	0	3.134638177896625e+00	1.927534315044564e+01	-1.013314409214693e+00	6.722994398502681e+00
327	1	3.266211719684749e+00	1.806700411816631e+01	-5.902322997017883e-01	6.399964751355316e+00
327	2	2.834035384321844e+00	1.855507961210952e+01	-1.507199809358941e+00	6.416734498929409e+00
327	3	2.855227807213294e+00	1.755696981482237e+01	-9.223921427741116e-01	6.123659286610700e+00
328	0	3.266211719684749e+00	1.806700411816631e+01	-5.902322997017883e-01	6.399964751355316e+00
328	1	3.297472922919814e+00	1.706911335836048e+01	-2.767442606624352e-01	6.109975884384088e+00
328	2	2.855227807213294e+00	1.755696981482237e+01	-9.223921427741116e-01	6.123659286610700e+00
328	3	2.799885726691111e+00	1.672116771361816e+01	-4.868130435105846e-01	5.856316032092782e+00
329	0	3.297472922919851e+00	1.706911335836050e+01	-2.767442606624424e-01	6.109975884384103e+00
329	1	3.285197434842055e+00	1.624141293705808e+01	-4.232863106352230e-02	5.857983111570038e+00
329	2	2.799885726691137e+00	1.672116771361818e+01	-4.868130435105911e-01	5.856316032092796e+00
329	3	2.732496284412901e+00	1.602853653082687e+01	-1.646249277506176e-01	5.628309844571932e+00
330	0	3.285197434842049e+00	1.624141293705807e+01	-4.232863106352122e-02	5.857983111570034e+00
330	1	3.236545323571675e+00	1.554574358850805e+01	1.320487191430151e-01	5.634686673623915e+00
330	2	2.732496284412897e+00	1.602853653082687e+01	-1.646249277506187e-01	5.628309844571929e+00
330	3	2.645040065707453e+00	1.544176919430583e+01	7.559019795713036e-02	5.426042778003984e+00
331	0	3.236545323571675e+00	1.554574358850805e+01	1.320487191430151e-01	5.634686673623915e+00
331	1	3.163661004596424e+00	1.495664253318144e+01	2.624794718051338e-01	5.436091061333357e+00
331	2	2.645040065707453e+00	1.544176919430583e+01	7.559019795713036e-02	5.426042778003984e+00
331	3	2.557891205990618e+00	1.493713088760878e+01	2.539885172427132e-01	5.248506628079817e+00
332	0	3.163661004596424e+00	1.495664253318144e+01	2.624794718051338e-01	5.436091061333357e+00
332	1	3.078780880769207e+00	1.445685228921795e+01	3.603712878416645e-01	5.260689950996148e+00
332	2	2.557891205990618e+00	1.493713088760878e+01	2.539885172427132e-01	5.248506628079817e+00
332	3	2.468327053082688e+00	1.449223336323694e+01	3.871595020000774e-01	5.088168124895888e+00
333	0	3.078780880769207e+00	1.445685228921795e+01	3.603712878416645e-01	5.260689950996148e+00
333	1	2.981299340418023e+00	1.403009798157808e+01	4.350469592727905e-01	5.103419196598830e+00
333	2	2.468327053082688e+00	1.449223336323694e+01	3.871595020000774e-01	5.088168124895888e+00
333	3	2.380809515513446e+00	1.409393601455706e+01	4.856346264586991e-01	4.942423659021153e+00
334	0	2.981299340418023e+00	1.403009798157808e+01	4.350469592727905e-01	5.103419196598830e+00
334	1	2.895225978701786e+00	1.367116764643093e+01	4.928315686704587e-01	4.969918087539814e+00
334	2	2.380809515513446e+00	1.409393601455706e+01	4.856346264586991e-01	4.942423659021153e+00
334	3	2.290547700384108e+00	1.373757687101210e+01	5.607771374936886e-01	4.808437371418860e+00
335	0	2.895225978701996e+00	1.367116764643103e+01	4.928315686704452e-01	4.969918087539908e+00
335	1	2.773668078824038e+00	1.335689346753679e+01	5.389721130717045e-01	4.839168463908248e+00
335	2	2.290547700384108e+00	1.373757687101210e+01	5.607771374936908e-01	4.808437371418860e+00
335	3	2.203629074392552e+00	1.342506377650376e+01	6.202563836818552e-01	4.688607855268895e+00
336	0	2.773668078824030e+00	1.335689346753679e+01	5.389721130717022e-01	4.839168463908244e+00
336	1	2.712055061453058e+00	1.311870166451784e+01	5.710065762964226e-01	4.749227017791268e+00
336	2	2.203629074392540e+00	1.342506377650376e+01	6.202563836818552e-01	4.688607855268891e+00
336	3	2.104415209576731e+00	1.315929024812987e+01	6.777183654930735e-01	4.579111637311978e+00
337	0	2.712055061453058e+00	1.311870166451784e+01	5.710065762964226e-01	4.749227017791268e+00
337	1	2.585636586090049e+00	1.292588867942478e+01	5.912464590476374e-01	4.653457579654449e+00
337	2	2.104415209576731e+00	1.315929024812987e+01	6.777183654930735e-01	4.579111637311978e+00
337	3	2.006771813222906e+00	1.294550481933684e+01	7.440110179824573e-01	4.485682989767923e+00
338	0	2.585636586090049e+00	1.292588867942478e+01	5.912464590476374e-01	4.653457579654449e+00
338	1	2.465536876556799e+00	1.282340954735867e+01	5.936058575498188e-01	4.586683927174642e+00
338	2	2.006771813222906e+00	1.294550481933684e+01	7.440110179824573e-01	4.485682989767923e+00
338	3	1.892875506591749e+00	1.279524885340503e+01	8.321858064567517e-01	4.406437307999034e+00
339	0	2.465536876556799e+00	1.282340954735867e+01	5.936058575498188e-01	4.586683927174642e+00
339	1	2.321081364765842e+00	1.281739917490168e+01	5.667901231386420e-01	4.541544161900257e+00
339	2	1.892875506591749e+00	1.279524885340503e+01	8.321858064567517e-01	4.406437307999034e+00
339	3	1.731124158204416e+00	1.272873855194749e+01	9.617749249212383e-01	4.337958813045573e+00
340	0	1.839202866729169e+00	2.558553038401721e+01	-6.849488358058415e+00	8.227419975223913e+00
340	1	2.345198722086543e+00	2.318696860789914e+01	-4.832807360697100e+00	7.659650198995704e+00
